"Real NN 3 for C,0; ,None - All data","Averages for C,0; ,None","Real NN 3 for C,1; ,None - All data","Averages for C,1; ,None"
3.67,3.597504914,5.9,5.839621067
4.4,4.471776009,0.95,0.97402294
4.01,4.214265406,0.76,0.740787566
4.52,4.095234632,0.95,0.965301812
4.36,4.206482053,1.04,0.988741517
2.79,2.965668142,5.98,5.983350158
0.86,1.389682651,4.35,4.49545753
6.55,5.946377397,0.95,0.976863697
1.5,1.920678675,0.95,0.964408085
6.06,6.318125606,0.95,1.043765113
3.64,3.726441264,0.95,0.998590976
4.29,4.378481388,6.26,6.518710136
6.6,6.679279685,0.95,0.960054174
6.48,5.759325027,0.95,0.987953112
4.85,4.710568428,0.95,0.966169372
4.36,4.666948795,3.62,3.514822543
0.82,0.355269991,0.95,0.934020072
7.12,6.879750967,0.86,0.937039852
4.1,5.161252737,0.95,1.107514367
0.85,0.6146929,0.95,0.945849717
0.73,1.280842423,0.95,0.946740925
4.51,4.193347931,5.1,5.501428723
4.39,4.832862854,8.71,6.468959689
0.93,0.780741617,0.95,0.975367635
6.55,6.379862666,0.95,0.995585963
2.64,2.38319397,7.89,7.634122372
1.5,1.711013585,7.1,6.918277025
4.75,4.68993628,0.76,0.633329783
4.36,5.098905921,0.95,0.904883131
3.37,3.319766521,2.71,2.626285791
5.06,4.63543272,0.95,0.959656715
0.6,0.604360171,0.95,0.976999804
4.39,4.629915953,0.95,0.926516905
4.75,4.772032142,2.12,2.406236529
6.69,6.931017756,0.95,1.003509223
2.81,3.134191275,0.95,0.947524235
3.37,3.330082297,0.95,0.983304814
6.06,6.32147181,3.2,3.332179725
4.36,4.255518317,0.95,0.893673554
0.96,1.3002792,0.95,0.988258362
3.1,3.518741071,0.95,0.951660499
0.8,0.857102171,3.2,3.921598136
5.52,5.576371312,0.95,0.965758637
6.15,5.834795117,7.89,8.041186929
4.67,4.161498606,5.27,5.347062349
0.78,0.56887988,8.39,8.12174201
4.67,4.946321726,0.95,0.979950383
5.52,5.621804476,0.95,0.974749073
6.6,6.563858032,0.95,0.921826988
7.94,5.363109112,7.89,5.385144114
7.04,5.602638483,0.95,1.00375098
0.84,0.933681726,3.12,2.992227614
0.93,1.08321172,3.12,2.973433793
3.6,3.466541588,0.95,0.927049354
0.7,0.265755005,0.95,1.021408468
6.47,6.222543001,0.95,0.969092026
8.84,9.042027235,0.95,0.991430864
0.82,0.806090429,0.76,0.730652854
5.06,4.669828415,0.95,1.009277135
3.37,3.170617044,0.95,0.946778446
3.6,2.490641057,0.95,0.983370692
4.52,4.083124399,1.04,0.944636241
7.53,6.323525786,7.44,7.860482454
0.81,0.819030896,0.95,0.949707031
1.88,1.858583272,0.82,0.968491256
4.51,3.775514364,0.95,0.929554075
2.62,1.881695718,0.95,1.002742887
0.83,1.598502129,2.71,4.777563691
1.3,1.248775035,0.95,0.936872482
2.16,1.980271846,0.86,0.941702396
0.87,0.946808204,1.04,1.482556254
4.5,4.483304501,7.39,7.697229266
5.59,6.028769135,0.95,0.998097822
0.59,0.634900212,0.95,0.935049683
2.72,2.16057229,0.95,0.904320449
0.77,0.821151644,6.26,6.466742754
2.62,1.464755177,0.95,0.98416692
4.54,4.345219254,0.95,0.97260651
6.61,7.229655147,0.95,0.966019809
4.42,4.627534986,0.97,0.796892613
0.8,0.925496623,0.97,0.938576892
7.62,8.122320294,0.95,0.963728189
1.88,1.765166819,0.95,0.947666809
4.7,4.793265343,0.95,0.875976548
